Period,Value
01-01-1992,164095
01-02-1992,164213
01-03-1992,163721
01-04-1992,164709
01-05-1992,165612
01-06-1992,166077
01-07-1992,167257
01-08-1992,167800
01-09-1992,169400
01-10-1992,170625
01-11-1992,171003
01-12-1992,173105
01-01-1993,175108
01-02-1993,173744
01-03-1993,172306
01-04-1993,176749
01-05-1993,178426
01-06-1993,178157
01-07-1993,180743
01-08-1993,180707
01-09-1993,181773
01-10-1993,182884
01-11-1993,184747
01-12-1993,186399
01-01-1994,185142
01-02-1994,188074
01-03-1994,191579
01-04-1994,191639
01-05-1994,190929
01-06-1994,193130
01-07-1994,193743
01-08-1994,196163
01-09-1994,197765
01-10-1994,199571
01-11-1994,199731
01-12-1994,200702
01-01-1995,201573
01-02-1995,198399
01-03-1995,200247
01-04-1995,201032
01-05-1995,202986
01-06-1995,205500
01-07-1995,204920
01-08-1995,206521
01-09-1995,207006
01-10-1995,206176
01-11-1995,208664
01-12-1995,210399
01-01-1996,208699
01-02-1996,212008
01-03-1996,213891
01-04-1996,214676
01-05-1996,216299
01-06-1996,216068
01-07-1996,216332
01-08-1996,216358
01-09-1996,219256
01-10-1996,221060
01-11-1996,220963
01-12-1996,221991
01-01-1997,223481
01-02-1997,225422
01-03-1997,226161
01-04-1997,224615
01-05-1997,222929
01-06-1997,226057
01-07-1997,228703
01-08-1997,229309
01-09-1997,230312
01-10-1997,229836
01-11-1997,230440
01-12-1997,231181
01-01-1998,231587
01-02-1998,231684
01-03-1998,233083
01-04-1998,235986
01-05-1998,237075
01-06-1998,238971
01-07-1998,237411
01-08-1998,236379
01-09-1998,238550
01-10-1998,242549
01-11-1998,244291
01-12-1998,246530
01-01-1999,246868
01-02-1999,249520
01-03-1999,250667
01-04-1999,252477
01-05-1999,254735
01-06-1999,255449
01-07-1999,257456
01-08-1999,260230
01-09-1999,261317
01-10-1999,261818
01-11-1999,264965
01-12-1999,269863
01-01-2000,268044
01-02-2000,272020
01-03-2000,275192
01-04-2000,271046
01-05-2000,271394
01-06-2000,273422
01-07-2000,272630
01-08-2000,272918
01-09-2000,277548
01-10-2000,276927
01-11-2000,276029
01-12-2000,275791
01-01-2001,278834
01-02-2001,278773
01-03-2001,276450
01-04-2001,280808
01-05-2001,281496
01-06-2001,280401
01-07-2001,279504
01-08-2001,281413
01-09-2001,276084
01-10-2001,294540
01-11-2001,287111
01-12-2001,283705
01-01-2002,283508
01-02-2002,285054
01-03-2002,284262
01-04-2002,288833
01-05-2002,284951
01-06-2002,287372
01-07-2002,290385
01-08-2002,292650
01-09-2002,288410
01-10-2002,289576
01-11-2002,291484
01-12-2002,293947
01-01-2003,295248
01-02-2003,291167
01-03-2003,296325
01-04-2003,295600
01-05-2003,296410
01-06-2003,299626
01-07-2003,302747
01-08-2003,307809
01-09-2003,305933
01-10-2003,304809
01-11-2003,308527
01-12-2003,307407
01-01-2004,309254
01-02-2004,311393
01-03-2004,316912
01-04-2004,313512
01-05-2004,318964
01-06-2004,314958
01-07-2004,318549
01-08-2004,318977
01-09-2004,324569
01-10-2004,326740
01-11-2004,327836
01-12-2004,331874
01-01-2005,328696
01-02-2005,333026
01-03-2005,333581
01-04-2005,336583
01-05-2005,334522
01-06-2005,343998
01-07-2005,346576
01-08-2005,343307
01-09-2005,343956
01-10-2005,344097
01-11-2005,347325
01-12-2005,347405
01-01-2006,357331
01-02-2006,354706
01-03-2006,355665
01-04-2006,357423
01-05-2006,356704
01-06-2006,357879
01-07-2006,359006
01-08-2006,360691
01-09-2006,358961
01-10-2006,358462
01-11-2006,359266
01-12-2006,363730
01-01-2007,363616
01-02-2007,364006
01-03-2007,367158
01-04-2007,366187
01-05-2007,370934
01-06-2007,368154
01-07-2007,369614
01-08-2007,371358
01-09-2007,372869
01-10-2007,375289
01-11-2007,378860
01-12-2007,374298
01-01-2008,375236
01-02-2008,371833
01-03-2008,372745
01-04-2008,372572
01-05-2008,376036
01-06-2008,376455
01-07-2008,375038
01-08-2008,372284
01-09-2008,366729
01-10-2008,352950
01-11-2008,339350
01-12-2008,332091
01-01-2009,336929
01-02-2009,335576
01-03-2009,329747
01-04-2009,331352
01-05-2009,334256
01-06-2009,339883
01-07-2009,340517
01-08-2009,346668
01-09-2009,338507
01-10-2009,341654
01-11-2009,344375
01-12-2009,346072
01-01-2010,346189
01-02-2010,346787
01-03-2010,354608
01-04-2010,357270
01-05-2010,354015
01-06-2010,354127
01-07-2010,354579
01-08-2010,356747
01-09-2010,359299
01-10-2010,363522
01-11-2010,367345
01-12-2010,369249
01-01-2011,371798
01-02-2011,375056
01-03-2011,378471
01-04-2011,380773
01-05-2011,380282
01-06-2011,383197
01-07-2011,382790
01-08-2011,383946
01-09-2011,387709
01-10-2011,389921
01-11-2011,391589
01-12-2011,391837
01-01-2012,395376
01-02-2012,400228
01-03-2012,401804
01-04-2012,399915
01-05-2012,399363
01-06-2012,396140
01-07-2012,397458
01-08-2012,402152
01-09-2012,405366
01-10-2012,405925
01-11-2012,407580
01-12-2012,408793
01-01-2013,412238
01-02-2013,417250
01-03-2013,414217
01-04-2013,412268
01-05-2013,414137
01-06-2013,415642
01-07-2013,418458
01-08-2013,417547
01-09-2013,417421
01-10-2013,419276
01-11-2013,420556
01-12-2013,422886
01-01-2014,418524
01-02-2014,424674
01-03-2014,429134
01-04-2014,433648
01-05-2014,434351
01-06-2014,435430
01-07-2014,436137
01-08-2014,439650
01-09-2014,438707
01-10-2014,439889
01-11-2014,441277
01-12-2014,438800
01-01-2015,436110
01-02-2015,435340
01-03-2015,441880
01-04-2015,442600
01-05-2015,446206
01-06-2015,446898
01-07-2015,449767
01-08-2015,449975
01-09-2015,448739
01-10-2015,447496
01-11-2015,449242
01-12-2015,450978
01-01-2016,448325
01-02-2016,452555
01-03-2016,451132
01-04-2016,453034
01-05-2016,454683
01-06-2016,459088
01-07-2016,458579
01-08-2016,459022
01-09-2016,461893
01-10-2016,463240
01-11-2016,462994
01-12-2016,468076
01-01-2017,473832
01-02-2017,473582
01-03-2017,472693
01-04-2017,475335
01-05-2017,473242
01-06-2017,474798
01-07-2017,475045
01-08-2017,475653
01-09-2017,486056
01-10-2017,486635
01-11-2017,490648
01-12-2017,492996
01-01-2018,492600
01-02-2018,494815
01-03-2018,494747
01-04-2018,495967
01-05-2018,502351
01-06-2018,501133
01-07-2018,503834
01-08-2018,502875
01-09-2018,502407
01-10-2018,508036
01-11-2018,508471
01-12-2018,497541
01-01-2019,505036
01-02-2019,504686
01-03-2019,512602
01-04-2019,515088
01-05-2019,516965
01-06-2019,519205
01-07-2019,522198
01-08-2019,524547
01-09-2019,522261
01-10-2019,524853
01-11-2019,525014
01-12-2019,525467
01-01-2020,529616
01-02-2020,527273
01-03-2020,483949
01-04-2020,412766
01-05-2020,487708
01-06-2020,NA
01-07-2020,NA
01-08-2020,NA
01-09-2020,NA
01-10-2020,NA
01-11-2020,NA
01-12-2020,NA
